City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,kango,0.1943,10.0951,23.67,95,91,0.88,GA,1673305257
201,constitucion,-35.3333,-72.4167,17.46,81,22,5.02,CL,1673305258
202,puerto ayora,-0.7393,-90.3518,24.75,86,17,1.34,EC,1673305259
203,georgetown,5.4112,100.3354,25.96,83,20,0.0,MY,1673305260
204,whitehorse,60.7161,-135.0538,-2.73,96,100,0.72,CA,1673305261
205,yarada,17.65,83.2667,20.63,67,0,2.09,IN,1673305262
206,la ronge,55.1001,-105.2842,-12.7,98,99,1.49,CA,1673305263
207,bengkulu,-3.8004,102.2655,23.23,89,49,1.32,ID,1673305248
208,durango,24.8333,-104.8333,19.3,14,6,2.34,MX,1673305264
209,farah,32.5,62.5,10.77,51,100,1.71,AF,1673305266
210,the valley,18.217,-63.0578,25.61,73,2,8.18,AI,1673305267
211,mhasla,18.1333,73.1167,18.95,41,0,2.02,IN,1673305267
212,baiyin,36.5583,104.2081,-2.2,26,64,0.61,CN,1673305268
213,oranjemund,-28.55,16.4333,16.84,92,0,1.61,NA,1673305218
214,sorland,67.667,12.6934,4.92,70,67,8.51,NO,1673305270
215,victoria,22.2855,114.1577,19.41,91,100,4.02,HK,1673305101
216,barra da estiva,-13.6261,-41.3269,18.72,90,96,1.03,BR,1673305272
217,guanare,9.0418,-69.7421,34.01,49,61,2.06,VE,1673305274
218,marawi,7.9986,124.2928,20.3,98,100,0.84,PH,1673305275
219,tupik,54.4253,119.9327,-18.8,96,98,1.64,RU,1673305276
220,saint-louis,16.3333,-15.0,24.55,13,100,6.49,SN,1673305277
221,poso,-1.3959,120.7524,28.52,72,100,1.38,ID,1673305144
222,kirakira,-10.4544,161.9205,28.25,77,98,4.61,SB,1673305279
223,wanlaweyn,2.6185,44.8938,24.56,80,96,6.18,SO,1673305280
224,narsaq,60.9167,-46.05,2.12,71,100,4.17,GL,1673305281
225,saint-pierre,-21.3393,55.4781,24.82,69,2,2.57,RE,1673305160
226,barrow,71.2906,-156.7887,-23.99,77,75,4.63,US,1673305283
227,biankouma,7.7391,-7.6138,22.46,23,73,0.86,CI,1673305284
228,plettenberg bay,-34.0527,23.3716,19.92,86,16,2.12,ZA,1673305285
229,chokurdakh,70.6333,147.9167,-40.58,100,52,2.8,RU,1673305286
230,norden,53.6,7.2,5.99,97,70,0.45,DE,1673305287
231,leningradskiy,69.3833,178.4167,-23.76,96,100,4.16,RU,1673305288
232,cabo san lucas,22.8909,-109.9124,26.95,53,0,1.34,MX,1673305290
233,kahului,20.8947,-156.47,27.76,78,0,3.13,US,1673305291
234,husavik,66.0449,-17.3389,1.16,99,100,7.1,IS,1673305292
235,boueni,-12.9025,45.0761,24.99,71,5,1.09,YT,1673305293
236,mount gambier,-37.8333,140.7667,18.22,51,1,3.89,AU,1673305183
237,east london,-33.0153,27.9116,23.81,90,27,4.04,ZA,1673305290
238,padilla,3.2204,-76.3139,23.76,95,98,1.0,CO,1673305295
239,mandurah,-32.55,115.7,27.81,57,45,3.26,AU,1673305220
240,mulchen,-37.7167,-72.2333,24.12,43,88,4.07,CL,1673305296
241,krasnoarmeysk,51.0239,45.6969,-24.58,96,6,2.26,RU,1673305297
242,iqaluit,63.7506,-68.5145,-29.15,76,100,10.8,CA,1673305212
243,carnarvon,-24.8667,113.6333,24.0,70,0,5.62,AU,1673305221
244,slave lake,55.2834,-114.769,-5.81,92,100,1.84,CA,1673305299
245,nador,35.174,-2.9287,18.14,72,0,5.14,MA,1673305300
246,tual,-5.6667,132.75,27.98,66,100,3.03,ID,1673305302
247,saint george,37.1041,-113.5841,9.97,68,100,3.58,US,1673305150
248,rantauprapat,2.1,99.8333,21.85,97,81,0.97,ID,1673305189
249,margate,51.3813,1.3862,4.93,80,39,1.79,GB,1673305305
250,ngama,11.7833,17.1667,19.83,19,22,4.42,TD,1673305306
251,shaunavon,49.6501,-108.4181,-3.22,85,3,4.33,CA,1673305307
252,alofi,-19.0595,-169.9187,26.65,85,100,8.86,NU,1673305307
